type,title,director,cast,country,date_added,release_year,rating,duration,listed_in
Movie,Brothers,Karan Malhotra,"Akshay Kumar, Sidharth Malhotra, Jackie Shroff, Jacqueline Fernandez, Shefali Shah, Kulbhushan Kharbanda, Rajendranath Zutshi, Ashutosh Rana","India, United States",01-Apr-20,2015,6,155 min,"Action & Adventure, Dramas, International Movies"
Movie,Chhota Bheem and the Curse of Damyaan,Rajiv Chilaka,"Kaustav Ghosh, Jigna Bhardwaj, Chutki, Rajesh Kava, Mausam, Guru Shambu, Arun Shekar, Julie Tejwani, Anamaya Verma",India,01-Apr-20,2012,9,87 min,Children & Family Movies
TV Show,Community,,"Ken Jeong, Jim Rash, Donald Glover, Joel McHale, Gillian Jacobs, Danny Pudi, Alison Brie, Chevy Chase, Yvette Nicole Brown",United States,01-Apr-20,2015,6,6 Seasons,TV Comedies
Movie,David Batra: Elefanten i rummet,"David Batra, Jon Rudberg",David Batra,Sweden,01-Apr-20,2020,6.5,77 min,Stand-Up Comedy
Movie,Dostana,Tarun Mansukhani,"Abhishek Bachchan, John Abraham, Priyanka Chopra, Bobby Deol, Kiron Kher, Sushmita Mukherjee, Shrey Bawa, Boman Irani","India, United States",01-Apr-20,2008,6,142 min,"Comedies, Dramas, International Movies"
Movie,Duniya,Ramesh Talwar,"Dilip Kumar, Rishi Kapoor, Pran, Amrita Singh, Ashok Kumar, Prem Chopra, Amrish Puri, Satyen Kappu, Mac Mohan, Javed Khan",India,01-Apr-20,1984,6,170 min,"Action & Adventure, Dramas, International Movies"
Movie,Duplicate,Mahesh Bhatt,"Shah Rukh Khan, Juhi Chawla, Sonali Bendre, Farida Jalal, Mohnish Bahl, Tiku Talsania, Gulshan Grover, Sharat Saxena",India,01-Apr-20,1998,6,165 min,"Comedies, Dramas, International Movies"
Movie,Friendship,Raj Khosla,"Amitabh Bachchan, Shatrughan Sinha, Zeenat Aman, Prem Chopra, Amrish Puri, Helen, Pran, Gajanan Jagirdar, Sajjan, Iftekhar",India,01-Apr-20,1980,6,161 min,"Action & Adventure, Dramas, International Movies"
Movie,Gori Tere Pyaar Mein,Punit Malhotra,"Imran Khan, Kareena Kapoor, Nizhalgal Ravi, Anupam Kher, Shraddha Kapoor, Esha Gupta, Sujata Kumar, Neelu Kohli",India,01-Apr-20,2013,6,144 min,"Comedies, Dramas, International Movies"
Movie,Gumrah,Mahesh Bhatt,"Sanjay Dutt, Sridevi, Anupam Kher, Rahul Roy, Soni Razdan, Reema Lagoo, Kunika, Tom Alter, Bob Christo, Anang Desai",India,01-Apr-20,1993,6,149 min,"Action & Adventure, Dramas, International Movies"
Movie,Hasee Toh Phasee,Vinil Mathew,"Sidharth Malhotra, Parineeti Chopra, Adah Sharma, Manoj Joshi, Madhuri Sanjeev, Sharat Saxena, Nina Kulkarni, Anil Mange",India,01-Apr-20,2014,6,135 min,"Comedies, Dramas, International Movies"
TV Show,How to Fix a Drug Scandal,,,United States,01-Apr-20,2020,6.5,1 Season,"Crime TV Shows, Docuseries"
Movie,Humpty Sharma Ki Dulhania,Shashank Khaitan,"Varun Dhawan, Alia Bhatt, Ashutosh Rana, Sidharth Shukla, Sahil Vaid, Gaurav Pandey, Jaswant Daman, Kenneth Desai, Deepika Amin, Mahnaz Damania",India,01-Apr-20,2014,6,131 min,"Comedies, International Movies, Romantic Movies"
Movie,Kaal,Soham Shah,"Ajay Devgn, Vivek Oberoi, John Abraham, Lara Dutta, Esha Deol, Vishal Malhotra, Kushal Punjabi, Vineet Sharma",India,01-Apr-20,2005,6,126 min,"Horror Movies, International Movies, Thrillers"
Movie,Kabhi Alvida Naa Kehna,Karan Johar,"Amitabh Bachchan, Shah Rukh Khan, Abhishek Bachchan, Rani Mukerji, Preity Zinta, Kiron Kher, Arjun Rampal",India,01-Apr-20,2006,6,192 min,"Dramas, International Movies, Romantic Movies"
Movie,Kabhi Khushi Kabhie Gham,Karan Johar,"Amitabh Bachchan, Jaya Bhaduri, Shah Rukh Khan, Kajol, Hrithik Roshan, Kareena Kapoor, Rani Mukerji, Farida Jalal, Himani Shivpuri, Alok Nath",India,01-Apr-20,2001,6,209 min,"Dramas, International Movies"
Movie,Kal Ho Naa Ho,Nikkhil Advani,"Shah Rukh Khan, Saif Ali Khan, Preity Zinta, Jaya Bhaduri, Sushma Seth, Reema Lagoo, Lillete Dubey, Delnaaz Paul",India,01-Apr-20,2003,6,187 min,"Comedies, Dramas, International Movies"
Movie,Kapoor & Sons,Shakun Batra,"Rishi Kapoor, Sidharth Malhotra, Fawad Khan, Alia Bhatt, Ratna Pathak Shah, Rajat Kapoor",India,01-Apr-20,2016,6,138 min,"Comedies, Dramas, International Movies"
Movie,Kuch Kuch Hota Hai,Karan Johar,"Shah Rukh Khan, Kajol, Rani Mukerji, Farida Jalal, Reema Lagoo, Salman Khan, Archana Puran Singh, Himani Shivpuri, Johny Lever, Anupam Kher, Sana Saeed",India,01-Apr-20,1998,6,185 min,"Comedies, Dramas, International Movies"
Movie,Magnificent,Vikas Bahl,"Shahid Kapoor, Alia Bhatt, Pankaj Kapur, Sanjay Kapoor, Sushma Seth, Niki Walia, Sanah Kapur, Vikas Verma",India,01-Apr-20,2015,6,143 min,"Comedies, International Movies, Romantic Movies"
TV Show,Man Like Mobeen,,,United Kingdom,01-Apr-20,2020,6.5,3 Seasons,"British TV Shows, International TV Shows, TV Comedies"
Movie,Mighty Raju Rio Calling,"Rajiv Chilaka, Anirban Majumder, Alka Amarkant Dubey",,India,01-Apr-20,2014,9,97 min,"Children & Family Movies, Sports Movies"
Movie,Muqaddar ka Faisla,Prakash Mehra,"Raaj Kumar, Rakhee Gulzar, Raj Babbar, Tina Munim, Pran, Ranjeet, Meenakshi Sheshadri, Akbar Khan",India,01-Apr-20,1987,6,172 min,"Action & Adventure, Comedies, Dramas"
TV Show,Pokémon the Series,,"Sarah Natochenny, Laurie Hymes, Jessica Paquet, Rosie Reyes, Alyson Leigh Rosenfeld, Marc Swint, Rodger Parsons",,01-Apr-20,2019,9,3 Seasons,"Anime Series, Kids' TV"
TV Show,Saint Seiya,,"Toru Furuya, Hirotaka Suzuoki, Ryo Horikawa, Koichi Hashimoto, Hideyuki Hori, Keiko Han, Yuriko Yamamoto, Kohei Miyauchi, Mami Koyama",Japan,01-Apr-20,1986,6,6 Seasons,Anime Series
Movie,SETHUM AAYIRAM PON,Anand Ravichandran,"Nivedhithaa Sathish, Srilekha Rajendran, Avinash Raghudevan, Gabrella Sellus, Rathaa Krishnan P., Rajendran",India,01-Apr-20,2020,6.5,103 min,"Dramas, Independent Movies, International Movies"
TV Show,Sunderland 'Til I Die,,,United Kingdom,01-Apr-20,2020,6.5,2 Seasons,"British TV Shows, Docuseries, International TV Shows"
TV Show,The Iliza Shlesinger Sketch Show,,"Ilana Becker, Kerry Coddett, Tarik Davis, Matthew Dellapina, David Ebert, Stink Fisher, Iliana Inocencio, Iliza Shlesinger",United States,01-Apr-20,2020,6.5,1 Season,TV Comedies
Movie,The Little Vampire,"Richard Claus, Karsten Kiilerich","Matthew Marsh, Rasmus Hardiker, Miriam Margolyes, Tim Pigott-Smith, Alice Krige, Amy Saville, Joseph Kloska, Diane Wilson, Phoebe Givron-Taylor, Jim Carter, Sven De Ridder","Netherlands, Germany, Denmark, United Kingdom",01-Apr-20,2017,5,83 min,Children & Family Movies
Movie,The Runaways,Floria Sigismondi,"Kristen Stewart, Dakota Fanning, Michael Shannon, Stella Maeve, Scout Taylor-Compton, Alia Shawkat, Riley Keough, Johnny Lewis, Tatum O'Neal, Brett Cullen, Hannah Marks",United States,01-Apr-20,2010,5.5,107 min,"Dramas, Independent Movies, Music & Musicals"
TV Show,The Windsors,,"Harry Enfield, Haydn Gwynne, Hugh Skinner, Louise Ford, Richard Goulding, Matthew Cottle, Morgana Robinson, Celeste Dring, Katy Wix, Ellie White",United Kingdom,01-Apr-20,2020,6.5,3 Seasons,"British TV Shows, International TV Shows, TV Comedies"
Movie,Ungli,Renzil D'Silva,"Emraan Hashmi, Randeep Hooda, Kangana Ranaut, Sanjay Dutt, Neha Dhupia, Angad Bedi, Neil Bhoopalam, Shraddha Kapoor",India,01-Apr-20,2014,6,114 min,"Comedies, Dramas, International Movies"
TV Show,Well-Intended Love,,"Xu Kaicheng, Simona Wang, Ian Yi, Huang Qian Shuo, Yang Hao Ming, Liu Jia Xi",China,01-Apr-20,2020,6,2 Seasons,"International TV Shows, Romantic TV Shows, TV Comedies"
Movie,Wildling,Fritz Böhm,"Bel Powley, Brad Dourif, Liv Tyler, Collin Kelly-Sordelet, James Le Gros",United States,01-Apr-20,2018,5.5,93 min,"Horror Movies, Independent Movies, Sci-Fi & Fantasy"
Movie,A truthful Mother,Ravishankar Venkateswaran,"Revathi, Roger Narayanan, Sneha Ravishankar, Vidya Shankar, SR Leela",India,31-Mar-20,2020,9,85 min,Children & Family Movies
TV Show,Akbar Birbal,,"Kiku Sharda, Vishal Kotian, Delnaaz Irani",India,31-Mar-20,2019,5,1 Season,"Kids' TV, TV Comedies, TV Dramas"
TV Show,Bal Ganesh,Vijay S. Bhanushali,"Meghna Erande Joshi, Parminder Ghumman",,31-Mar-20,2019,9,1 Season,Kids' TV
Movie,Dave Chappelle: The Kennedy Center Mark Twain Prize for American Humor,,,United States,31-Mar-20,2020,6.5,85 min,Stand-Up Comedy
Movie,Greater,David Hunt,"Neal McDonough, Leslie Easterbrook, Christopher Severio, Michael Parks, Nick Searcy, Peter Gray Lewis, Fredric Lehne, M.C. Gainey, Texas Battle, Josh Emerson",United States,31-Mar-20,2016,4.5,131 min,"Children & Family Movies, Dramas, Sports Movies"
Movie,Indian Horse,Stephen S. Campanelli,"Sladen Peltier, Forrest Goodluck, Ajuawak Kapashesit, Martin Donovan, Michael Murphy, Michiel Huisman, Edna Manitowabi, Michael Lawrenchuk, Will Strongheart, Tristen Marty-Pahtaykan, Vance Banzo",Canada,31-Mar-20,2017,6.5,101 min,"Dramas, Independent Movies, Sports Movies"
Movie,Paharganj,Rakesh Ranjan Kumar,"Lorena Franco, Bijesh Jayarajan, Neet Chowdhary, Rajeev Gaursingh, Karran Jeet, Rajesh Sharma, Gautam Kurup, Poonam Mathur, Salman Khan, Manish Devkush",India,31-Mar-20,2019,6.5,107 min,"Dramas, Independent Movies, International Movies"
Movie,Pretty Little Stalker,Sam Irvin,"Nicky Whelan, Ashley Rickards, Parker Mack, Jesse Hutch, Sierra McCormick, Heather Morris, Jason Cermak, Kourtney Hansen, Jane Harber, Cory Hart, Kim DeJesus",United States,31-Mar-20,2018,6,84 min,Thrillers
Movie,Through My Father's Eyes: The Ronda Rousey Story,Gary Stretch,Ronda Rousey,"Canada, United States",31-Mar-20,2019,5.5,104 min,"Documentaries, Sports Movies"
TV Show,Tree House Tales,,"Renu Sharda, Sonal Kaushal, Shiney Prakash, Sumriddhi Shukla",,31-Mar-20,2019,8,1 Season,Kids' TV
Movie,Kannum Kannum Kollaiyadithaal,Desingh Periyasamy,"Dulquer Salmaan, Ritu Varma, Rakshan, Niranjani, Gautham Menon, Anish Kuruvilla",India,29-Mar-20,2020,6,160 min,"Comedies, Dramas, International Movies"
TV Show,Rugal,,"Choi Jin-hyuk, Park Sung-woong, Cho Dong-hyuk, Jung Hye-in, Han Ji-wan, Park Sun-ho, Kim Min-sang",South Korea,29-Mar-20,2020,6.5,1 Season,"Crime TV Shows, International TV Shows, Korean TV Shows"
Movie,Rogue Warfare,Mike Gunther,"Will Yun Lee, Jermaine Love, Rory Markham, Bertrand-Xavier Corbi, Katie Keene, Fernando Chien, Gina DeCesare, Michael Blalock, Chris Mulkey, Stephen Lang",United States,28-Mar-20,2019,5.5,103 min,Action & Adventure
Movie,Dragons: Rescue Riders: Hunt for the Golden Dragon,"TJ Sullivan, Greg Rankin","Noah Kaye Bentley, Brennley Brown, Zach Callison, Nicolas Cantu, Skai Jackson, Marsai Martin, Andre Robinson, Carlos Alazraqui, Jeff Bennett, Grey Griffin, Mary Elizabeth McGlynn",United States,27-Mar-20,2020,8,46 min,"Children & Family Movies, Comedies"
TV Show,Happy!,,"Christopher Meloni, Lili Mirojnick, Glenn Wein, Patrick Fischler, Toby Jaffe, Ritchie Coster, Grant Morrison, Pavun Shetty, Medina Senghore, Patton Oswalt",United States,27-Mar-20,2019,6.5,2 Seasons,"Crime TV Shows, TV Action & Adventure, TV Comedies"
TV Show,Ladies Up,,"Prashasti Singh, Kaneez Surka, Niveditha Prakasam, Supriya Joshi",India,27-Mar-20,2019,6.5,1 Season,"International TV Shows, Stand-Up Comedy & Talk Shows, TV Comedies"
Movie,Maska,Neeraj Udhwani,"Manisha Koirala, Prit Kamani, Shirley Setia, Nikita Dutta, Javed Jaffrey, Dhruv Lohumi",India,27-Mar-20,2020,6.5,112 min,"Comedies, Dramas, International Movies"
TV Show,Ozark,,"Jason Bateman, Sofia Hublitz, Laura Linney, Skylar Gaertner, Jason Butler Harner, Esai Morales, Peter Mullan, Lisa Emery",United States,27-Mar-20,2020,6.5,3 Seasons,"Crime TV Shows, TV Dramas, TV Thrillers"
Movie,The Decline,Patrice Laliberté,"Guillaume Laurin, Marie-Evelyne Lessard, Réal Bossé, Marc-André Grondin, Marc Beaupré, Marilyn Castonguay, Guillaume Cyr, Isabelle Giroux, Juliette Maxyme Proulx",Canada,27-Mar-20,2020,6.5,83 min,"Action & Adventure, International Movies"
Movie,There's Something in the Water,"Ellen Page, Ian Daniel",Ellen Page,Canada,27-Mar-20,2019,6,72 min,"Documentaries, International Movies"
Movie,True: Wuzzle Wegg Day,"Todd Kauffman, Mark Thornton","Michela Luci, Jamie Watson, Eric Peterson, Anna Claire Bartlam, Nicolas Aqui, Cory Doran, Julie Lemieux",Canada,27-Mar-20,2020,8,24 min,Children & Family Movies
Movie,Uncorked,Prentice Penny,"Mamoudou Athie, Courtney B. Vance, Niecy Nash, Sasha Compère, Bernard D. Jones, Gil Ozeri, Matt McGorry, Meera Rohit Kumbhani",United States,27-Mar-20,2020,6.5,104 min,"Dramas, Independent Movies"
TV Show,Wassup Man GO!,,Joon Park,,27-Mar-20,2020,6.5,1 Season,"International TV Shows, Korean TV Shows, Reality TV"
Movie,Willy and the Guardians of the Lake: Tales from the Lakeside Winter Adventure,Zsolt Pálfi,"Csongor Szalay, Anna Kubik, Sári Vida, András Faragó, Róbert Bolla",Hungary,27-Mar-20,2019,8,72 min,Children & Family Movies
TV Show,7SEEDS,,"Nao Toyama, Jun Fukuyama, Katsuyuki Konishi, Yoko Soumi, Kana Asumi, Akira Ishida, Aoi Yuki, Kazuhiko Inoue, Yoko Hikasa, Hirofumi Nojima, Ryotaro Okiayu, Eri Kitamura, Mamiko Noto, Ryo Hirohashi, Shizuka Ito, Hisao Egawa, Mayumi Asano, Kenta Miyake, Ai Kakuma, Kaito Ishikawa, Mikako Komatsu, Daisuke Sakaguchi, Takanori Hoshino, Kenjiro Tsuda, Nozomu Sasaki, Kenji Nojima, Houko Kuwashima, Kensho Ono, Takahiro Sakurai, Haruka Chisuga, Yu Shimamura, Takuma Terashima, Takuya Sato, Junko Minagawa, Masashi Sugawara, Sho Hayami, Kazuyuki Okitsu, Minako Kotobuki",,26-Mar-20,2020,6.5,2 Seasons,"Anime Series, International TV Shows"
Movie,Happy Old Year,Nawapol Thamrongrattanarit,"Chutimon Chuengcharoensukying, Sunny Suwanmethanont, Sarika Sartsilpsupa, Thirawat Ngosawang, Apasiri Nitibhon, Patcha Kitchaicharoen",Thailand,26-Mar-20,2019,6.5,113 min,"Dramas, International Movies, Romantic Movies"
Movie,Making Unorthodox,Marlene Melchior,,Germany,26-Mar-20,2020,5,21 min,"Documentaries, International Movies"
TV Show,Unorthodox,,"Shira Haas, Amit Rahav, Jeff Wilbusch, Alex Reid, Ronit Asheri, Delia Mayer, Dina Doronne, David Mandelbaum, Yousef Sweid, Dennenesch Zoudé, Isabel Schosnig, Aaron Altaras, Tamar Amit-Joseph, Safinaz Sattar, Langston Uibel, Aziz Dyab",Germany,26-Mar-20,2020,6.5,1 Season,"International TV Shows, TV Dramas"
Movie,Bethany Hamilton: Unstoppable,Aaron Lieber,Bethany Hamilton,United States,25-Mar-20,2019,4.5,100 min,"Children & Family Movies, Documentaries, Sports Movies"
Movie,Crip Camp: A Disability Revolution,,,United States,25-Mar-20,2020,5.5,108 min,Documentaries
Movie,Curtiz,Tamas Yvan Topolanszky,"Ferenc Lengyel, Evelin Dobos, Declan Hannigan, Scott Alexander Young, József Gyabronka, Nikolett Barabas, Yan Feldman, Rafael Feldman, Christopher Krieg, Andrew Hefler, Lili Bordán",Hungary,25-Mar-20,2018,6.5,99 min,"Dramas, International Movies"
Movie,The Occupant,"Àlex Pastor, David Pastor","Javier Gutiérrez, Mario Casas, Bruna Cusí, Ruth Díaz",Spain,25-Mar-20,2020,6.5,104 min,"Independent Movies, International Movies, Thrillers"
Movie,Tom Segura: Ball Hog,Rami Hachache,Tom Segura,United States,24-Mar-20,2020,6.5,70 min,Stand-Up Comedy
TV Show,Freud,,"Robert Finster, Ella Rumpf, Georg Friedrich, Christoph Krutzler, Brigitte Kren, Anja Kling, Philipp Hochmair","Austria, Germany",23-Mar-20,2020,6.5,1 Season,"Crime TV Shows, International TV Shows, TV Dramas"
TV Show,J-Style Trip,,"Jay Chou, Jam Hsiao, JJ Lin, Will Tsai, Chen Chien-chou, Funky Tu, Norman Chen","Taiwan, China",22-Mar-20,2020,6,1 Season,"International TV Shows, Reality TV"
TV Show,Barbie Dreamhouse Adventures: Go Team Roberts,,"America Young, Kirsten Day, Cassandra Morris, Cassidy Naber, Emma Galvin, Stephanie Sheh, Desirae Whitfield, Cristina Milizia, Lisa Fuson, Greg Chun, Ritesh Rajan, Eamon Brennan",,21-Mar-20,2020,8,2 Seasons,Kids' TV
Movie,A Life of Speed: The Juan Manuel Fangio Story,Francisco Macri,,Argentina,20-Mar-20,2020,6,93 min,"Documentaries, International Movies, Sports Movies"
TV Show,Archibald's Next Big Thing,,"Tony Hale, Rosamund Pike, Jordan Fisher, Chelsea Kane, Adam Pally, Kari Wahlgren",,20-Mar-20,2020,9,2 Seasons,"Kids' TV, TV Comedies"
TV Show,Dino Girl Gauko,,"Naoko Matsui, Hiroshi Kamiya, Kazue Ikura, Chafurin, Chie Kojiro, Mari Mashiba, Ryoko Shiraishi, Hidekatsu Shibata, Tadashi Miyazawa, Sonosuke Hattori, Karen, Yui Toita, Izu Konishi, Eri Ozaki, Risa Nakamura, Tomoyo Chujo, Takuro Hijioka, Sawako Yoshida, Chika Okubo, Yuri Fujiwara, Tomomi Yamakawa, Hikaru Yuki, Miyako Kobayashi, Mutsuki Arisawa, Koharu Nogata, Tomoka Kuzutani, Madoka Yokoyama, Madoka Hiraide, Ayako Takamura, Yuki Arimoto, Yuto Kazama, Arisa Takami, Chika Sakamoto","United States, Japan",20-Mar-20,2020,9,2 Seasons,"Anime Series, Kids' TV"
Movie,El silencio es bienvenido,Gabriela García Rivas,"Eileen Yáñez, Jorge Luis Moreno, Daniela Newton, Andrea Newton, Luis Eduardo Yee, Enrique Medina, Roberto Fiesco",Mexico,20-Mar-20,2017,6,95 min,"Dramas, Independent Movies, International Movies"
TV Show,Greenhouse Academy,,"Ariel Mortman, Finn Roberts, Chris O'Neal, Dallas Hart, Cinthya Carmona, Grace Van Dien, Benjamin Papac, Jessica Amlee, BJ Mitchell, Aviv Buchler, Nadine Ellis, Yiftach Mizrahi, Parker Stevenson, Ishai Golan, Selina Giles, Reina Hardesty",United States,20-Mar-20,2020,7,4 Seasons,"Kids' TV, TV Dramas, Teen TV Shows"
TV Show,Self Made: Inspired by the Life of Madam C.J. Walker,,"Octavia Spencer, Tiffany Haddish, Carmen Ejogo, Blair Underwood, Garrett Morris, Kevin Carroll",United States,20-Mar-20,2020,6.5,1 Season,TV Dramas
TV Show,She,,"Aaditi Pohankar, Vijay Varma, Vishwas Kini, Kishore Kumar G., Shivani Rangole, Suhita Thatte, Sandeep Dhabale, Saqib Ayub",India,20-Mar-20,2020,6.5,1 Season,"Crime TV Shows, International TV Shows, TV Dramas"
TV Show,The English Game,,"Edward Holcroft, Kevin Guthrie, Charlotte Hope, Niamh Walsh, Craig Parkinson, James Harkness, Ben Batt, Gerard Kearns, Henry Lloyd-Hughes",United Kingdom,20-Mar-20,2020,6,1 Season,"British TV Shows, International TV Shows, TV Dramas"
TV Show,The Letter for the King,,"Amir Wilson, Ruby Ashbourne Serkis, Thaddea Graham, Islam Bouakkaz, Jonah Lees, Jack Barton, Nathanael Saleh, Emilie Cocquerel, Gijs Blom, Kemi-Bo Jacobs, David Wenham, Omid Djalili, Peter Ferdinando",United Kingdom,20-Mar-20,2020,7,1 Season,"British TV Shows, International TV Shows, TV Action & Adventure"
TV Show,"Tiger King: Murder, Mayhem and Madness","Eric Goode, Rebecca Chaiklin",,United States,20-Mar-20,2020,6.5,1 Season,"Crime TV Shows, Docuseries"
Movie,Ultras,Francesco Lettieri,"Aniello Arena, Antonia Truppo, Ciro Nacca, Simone Borelli, Daniele Vicorito, Salvatore Pelliccia",Italy,20-Mar-20,2020,6.5,109 min,"Dramas, International Movies, Sports Movies"
TV Show,Vampires,,"Oulaya Amamra, Suzanne Clément, Kate Moran, Mounir Amamra, Aliocha Schneider, Juliette Cardinski, Pierre Lottin, Dylan Robert, Bilel Chegrani, Antonia Buresi, Marilu Marini, Ayumi Roux",France,20-Mar-20,2020,6.5,1 Season,"International TV Shows, TV Dramas, TV Horror"
Movie,3022,John Suits,"Omar Epps, Kate Walsh, Miranda Cosgrove, Angus Macfadyen, Jorja Fox, Enver Gjokaj, Haaz Sleiman",United States,19-Mar-20,2019,5.5,91 min,"Independent Movies, Sci-Fi & Fantasy, Thrillers"
Movie,Altered Carbon: Resleeved,"Takeru Nakajima, Yoshiyuki Okada","Tatsuhisa Suzuki, Rina Satou, Ayaka Asai, Jouji Nakata, Kenji Yamauchi, Kanehira Yamamoto, Koji Ishii","Japan, United States",19-Mar-20,2020,6.5,75 min,"Action & Adventure, Anime Features, International Movies"
Movie,Masameer - The Movie,Malik Nejer,"Malik Nejer, Shahad Alahmari, Abdulaziz Almuzaini, Yousef Aldakheel",Saudi Arabia,19-Mar-20,2020,6,100 min,"Comedies, International Movies"
Movie,AllI Wish,Susan Walter,"Sharon Stone, Tony Goldwyn, Liza Lapira, Ellen Burstyn, Jason Gibson, Famke Janssen, Caitlin Fitzgerald, Gilles Marini, Erica Ash, Tom Paolino",United States,18-Mar-20,2017,5.5,95 min,"Dramas, Romantic Movies"
TV Show,Caliphate,,"Aliette Opheim, Gizem Erdogan, Amed Bozan, Albin Grenholm, Nora Rios, Yussra El Abdouni, Amanda Sohrabi, Lancelot Ncube, Simon Mezher, Ala Riani",Sweden,18-Mar-20,2020,6.5,1 Season,"International TV Shows, TV Dramas"
Movie,Lu Over the Wall,Masaaki Yuasa,"Kanon Tani, Shota Shimoda, Shinichi Shinohara, Akira Emoto, Soma Saito, Minako Kotobuki, Daigo, Nobu",Japan,18-Mar-20,2017,4.5,113 min,"Anime Features, Music & Musicals, Sci-Fi & Fantasy"
TV Show,Women Of The Night,,"Karina Smulders, Susan Radder, Hilde Van Mieghem, Thijs Römer, Matteo van der Grijn, Daphne Wellens, Steef de Bot, Isis Cabolet, Dragan Bakema, Saman Amini, Roeland Fernhout, Anne-Laure Vandeputte",Netherlands,18-Mar-20,2019,6.5,1 Season,"Crime TV Shows, International TV Shows, TV Dramas"
Movie,XV: Beyond the Tryline,Pierre Deschamps,,United Kingdom,18-Mar-20,2016,6,91 min,"Documentaries, Sports Movies"
Movie,Bert Kreischer: Hey Big Boy,Jeff Tomsic,Bert Kreischer,United States,17-Mar-20,2020,6.5,62 min,Stand-Up Comedy
TV Show,Shaun the Sheep: Adventures from Mossy Bottom,,"John Sparkes, Justin Fletcher, Marcus Brigstocke, Simon Greenall, Kate Harbour, Emma Tate, Andy Nyman, Richard Webber","United Kingdom, United States, Ireland",17-Mar-20,2020,9,1 Season,"British TV Shows, Kids' TV, TV Comedies"
TV Show,We Speak Dance,,Vandana Hart,United States,17-Mar-20,2018,6.5,1 Season,Docuseries
Movie,Search Party,Scot Armstrong,"T.J. Miller, Adam Pally, Thomas Middleditch, Lance Reddick, Shannon Woodward, Alison Brie, Krysten Ritter, Jason Mantzoukas",United States,16-Mar-20,2014,5.5,93 min,Comedies
Movie,Bypass Road,Naman Nitin Mukesh,"Neil Nitin Mukesh, Adah Sharma, Rajit Kapoor, Gul Panag, Shama Sikander, Manish Chaudhary, Sudhanshu Pandey, Taher Shabbir",India,15-Mar-20,2019,6,135 min,"International Movies, Thrillers"
Movie,Digs & Discoveries: All Track's Lead to Rome,Joey So,"Joseph May, Anna Francolini, Antonio Magro, Montserrat Lombard, Flaminia Cinque, Keith Wickham",,15-Mar-20,2019,8,23 min,Children & Family Movies
Movie,Digs & Discoveries: Mines of Mystery,Joey So,"Joseph May, Flaminia Cinque, Anna Francolini, Teresa Gallagher, Montserrat Lombard, Antonio Magro, Vincenzo Nicoli",,15-Mar-20,2019,8,23 min,Children & Family Movies
TV Show,Ken Burns Presents: College Behind Bars: A Film by Lynn Novick and Produced by Sarah Botstein,Lynn Novick,,United States,15-Mar-20,2019,6.5,1 Season,Docuseries
Movie,Steam Team to the Rescue,Joey So,"Joseph May, Keith Wickham, Yvonne Grundy, Jules De Jongh, Rachael Louise Miller, Rob Rackstraw, Christopher Ragland, Kerry Shale, Teresa Gallagher, Bob Golding",,15-Mar-20,2019,8,23 min,Children & Family Movies
Movie,Jai Mummy Di,Navjot Gulati,"Poonam Dhillon, Supriya Pathak, Sunny Singh, Sonalli Sehgall, Rajendra Sethi, Veer Rajwant Singh, Danish Husain, Alok Nath",India,14-Mar-20,2020,6.5,101 min,"Comedies, International Movies, Romantic Movies"
TV Show,100 Humans,,"Zainab Johnson, Sammy Obeid, Alie Ward",United States,13-Mar-20,2020,6,1 Season,"Docuseries, Science & Nature TV"
Movie,Baby Mamas,Stephanie Zwane,"Salamina Mosese, Kay Smith, Thembisa Mdoda, Dineo Ranaka, Sthembiso Khoza, Khaya Mthembu, Jonathan Boynton-Lee, Nicholas Nkuna, Donovan Pietersen, Pamela Nomvete",South Africa,13-Mar-20,2018,6,98 min,"Comedies, Dramas, International Movies"
TV Show,Bloodride,,"Ine Marie Wilmann, Bjørnar Teigen, Emma Spetalen Magnusson, Erlend Rødal Vikhagen, Benjamin Helstad, Harald Rosenstrøm, Dagny Backer Johnsen, Stig Amdam, Numa Edema Norderhaug, Ellen Bendu, Torfinn Nag",Norway,13-Mar-20,2020,6.5,1 Season,"International TV Shows, TV Horror, TV Mysteries"
Movie,Go Karts,Owen Trevor,"William Lodder, Anastasia Bampos, Darius Amarfio-Jefferson, Richard Roxburgh, Frances O'Connor, Dan Wyllie, Cooper van Grootel, Damian de Montemas, Adam T. Perkins",Australia,13-Mar-20,2020,7,103 min,"Children & Family Movies, Dramas"
Movie,Justine,Stephanie Turner,"Stephanie Turner, Glynn Turman, Daisy Prescott, Darby Stanchfield, Josh Stamberg, Bridget Kallal, Ravi Cabot-Conyers, Cleo King, Melanie Hutsell",United States,13-Mar-20,2019,6.5,106 min,"Dramas, Independent Movies"
TV Show,Kingdom,Kim Seong-hun,"Ju Ji-hoon, Ryu Seung-ryong, Bae Doona, Kim Sang-ho, Kim Sung-kyu, Jeon Seok-ho, Kim Hye-jun, Heo Jun-ho, Jung Suk-won, Kim Jong-soo","South Korea, United States",13-Mar-20,2020,6.5,2 Seasons,"International TV Shows, Korean TV Shows, TV Action & Adventure"
